#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -20.0000000000      0.0000000000      0.0001444690
    -19.9850000000      0.0000000000      0.0001875245
    -19.9700000000      0.0000000000      0.0002420405
    -19.9550000000      0.0000000000      0.0003106501
    -19.9400000000      0.0000000000      0.0003964743
    -19.9250000000      0.0000000000      0.0005031827
    -19.9100000000      0.0000000000      0.0006350545
    -19.8950000000      0.0000000000      0.0007970376
    -19.8800000000      0.0000000000      0.0009948039
    -19.8650000000      0.0000000000      0.0012347970
    -19.8500000000      0.0000000000      0.0015242713
    -19.8350000000      0.0000000000      0.0018713160
    -19.8200000000      0.0000000000      0.0022848635
    -19.8050000000      0.0000000000      0.0027746761
    -19.7900000000      0.0000000000      0.0033513085
    -19.7750000000      0.0000000000      0.0040260428
    -19.7600000000      0.0000000000      0.0048107928
    -19.7450000000      0.0000000000      0.0057179754
    -19.7300000000      0.0000000000      0.0067603481
    -19.7150000000      0.0000000000      0.0079508127
    -19.7000000000      0.0000000000      0.0093021856
    -19.6850000000      0.0000000000      0.0108269382
    -19.6700000000      0.0000000000      0.0125369110
    -19.6550000000      0.0000000000      0.0144430072
    -19.6400000000      0.0000000000      0.0165548735
    -19.6250000000      0.0000000000      0.0188805765
    -19.6100000000      0.0000000000      0.0214262839
    -19.5950000000      0.0000000000      0.0241959618
    -19.5800000000      0.0000000000      0.0271910996
    -19.5650000000      0.0000000000      0.0304104718
    -19.5500000000      0.0000000000      0.0338499498
    -19.5350000000      0.0000000000      0.0375023712
    -19.5200000000      0.0000000000      0.0413574761
    -19.5050000000      0.0000000000      0.0454019167
    -19.4900000000      0.0000000000      0.0496193430
    -19.4750000000      0.0000000000      0.0539905678
    -19.4600000000      0.0000000000      0.0584938082
    -19.4450000000      0.0000000000      0.0631049997
    -19.4300000000      0.0000000000      0.0677981765
    -19.4150000000      0.0000000000      0.0725459073
    -19.4000000000      0.0197606212      0.0773197752
    -19.3850000000      0.1035000638      0.0820908886
    -19.3700000000      0.1872395064      0.0868304064
    -19.3550000000      0.1321899374      0.0915100636
    -19.3400000000      0.1391740203      0.0961026801
    -19.3250000000      0.1461581032      0.1005826386
    -19.3100000000      0.1531421862      0.1049263164
    -19.2950000000      0.1601262691      0.1091124598
    -19.2800000000      0.1670790912      0.1131224907
    -19.2650000000      0.1590296945      0.1169407382
    -19.2500000000      0.1509802978      0.1205545895
    -19.2350000000      0.1434117942      0.1239545604
    -19.2200000000      0.1462167378      0.1271342850
    -19.2050000000      0.1490216815      0.1300904296
    -19.1900000000      0.1518266251      0.1328225379
    -19.1750000000      0.1546315687      0.1353328157
    -19.1600000000      0.1574365124      0.1376258669
    -19.1450000000      0.1602414560      0.1397083927
    -19.1300000000      0.1630463997      0.1415888658
    -19.1150000000      0.1535328200      0.1432771946
    -19.1000000000      0.1525854495      0.1447843877
    -19.0850000000      0.1516380791      0.1461222320
    -19.0700000000      0.1506907086      0.1473029922
    -19.0550000000      0.1497433382      0.1483391417
    -19.0400000000      0.1487959677      0.1492431280
    -19.0250000000      0.1491237478      0.1500271778
