1.60  2.40 -119.50369680
1.60  2.45 -119.51665833
1.60  2.50 -119.52475110
1.60  2.55 -119.52895594
1.60  2.60 -119.53008767
1.60  2.65 -119.52875705
1.60  2.70 -119.52549450
1.633 2.40 -119.50869168
1.633 2.45 -119.51997917
1.633 2.50 -119.52666041
1.633 2.55 -119.52970950
1.633 2.60 -119.52989079
1.633 2.65 -119.52780814
1.633 2.70 -119.52393334
1.66  2.40 -119.51204631
1.66  2.45 -119.52209163
1.66  2.50 -119.52775207
1.66  2.55 -119.52996110
1.66  2.60 -119.52943377
1.66  2.65 -119.52675853
1.66  2.70 -119.52241610
1.70  2.40 -119.51587714
1.70  2.45 -119.52424380
1.70  2.50 -119.52856053
1.70  2.55 -119.52965351
1.70  2.60 -119.52821375
1.70  2.65 -119.52479015
1.70  2.70 -119.51982825
1.74  2.40 -119.51845766
1.74  2.45 -119.52539952
1.74  2.50 -119.52857434
1.74  2.55 -119.52874940
1.74  2.60 -119.52655990
1.74  2.65 -119.52252525
1.74  2.70 -119.51706579
