   6  0.10D+01     1     -0.42D-03 :   12.97    104.63
        1   0.0016027342   0.1489743551   0.0077746551
        2  -0.2050303440   0.2750201436   0.0033085790
        3   0.2082992742   0.2750474001   0.0109395399
        4   0.0015192177  -0.1463411143   0.0093969988
        5  -0.2050615135  -0.2722846672   0.0065607567
        6   0.2079355943  -0.2722943343   0.0142699023
   6  0.10D+01     2     -0.19D-03 :    8.76     70.63
        1   0.0015889363  -0.0029849366   0.0564035764
        2   0.0060611142  -0.0057549914  -0.4175683792
        3  -0.0028200592  -0.0056376994   0.5325244792
        4   0.0016109940   0.0032931426   0.0563954076
        5   0.0057179282   0.0057903934  -0.4175383666
        6  -0.0026078035   0.0059009957   0.5324972171
   6  0.10D+01     3     -0.61D-04 :    4.97     40.06
        1   0.0178480526   0.0046997810  -0.1778207570
        2   0.0096341430   0.0097178337  -0.3279426758
        3   0.0261720361   0.0097909495  -0.0310871153
        4   0.0178219960  -0.0073435706  -0.1797673488
        5   0.0098287888  -0.0122751136  -0.3316902893
        6   0.0258577461  -0.0122771461  -0.0347234788
   6  0.10D+01     4     -0.18D-04 :    2.67     21.50
        1  -0.1862616730   0.0264804718  -0.0183589319
        2  -0.1885989632   0.0278771888  -0.0383281893
        3  -0.1840440178   0.0279546985  -0.0022080728
        4  -0.1862822085   0.0232424822  -0.0145763092
        5  -0.1884653016   0.0220072867  -0.0312897445
        6  -0.1841537148   0.0219619501   0.0049904018
   6  0.10D+01     5      0.30D-04 :    3.46     27.93
        1  -0.0248590816  -0.1859209068  -0.0009395230
        2  -0.0268185555  -0.1849628309  -0.0027333825
        3  -0.0228458478  -0.1847840253   0.0007599417
        4  -0.0248891882  -0.1883871121  -0.0007354560
        5  -0.0262009356  -0.1892746385  -0.0023607658
        6  -0.0236214828  -0.1894389169   0.0011569593
   6  0.10D+01     6      0.28D-03 :   10.71     86.35
        1   0.0023019885  -0.0009204558  -0.1632664003
        2   0.0034237297  -0.0016133103  -0.3032756320
        3   0.0012290905  -0.0015649957  -0.3018325255
        4   0.0022965731   0.0005476351   0.1614012256
        5   0.0032928336   0.0011842786   0.3000713987
        6   0.0011595159   0.0012134437   0.3013132306
   6  0.27D+00     7      0.25D-01 :  100.48    810.43
        1   0.0000487379  -0.0386061330   0.0001904747
        2  -0.4312460140   0.2305327673  -0.0007175342
        3   0.4314153269   0.2304372914  -0.0005325194
        4   0.0000450076  -0.0385074384   0.0001585118
        5   0.4313074934   0.2304856116  -0.0005830637
        6  -0.4313036443   0.2306887270  -0.0003538972
   6  0.11D+00     8      0.32D-01 :  114.17    920.88
        1  -0.0000585836  -0.0000864147  -0.0782600330
        2  -0.0007094422   0.0003441214   0.4598652372
        3   0.0006275810   0.0003375055   0.4595181615
        4   0.0000441229   0.0000172981  -0.0783901930
        5   0.0005999911   0.0003698477   0.4603642777
        6  -0.0003489190   0.0003094582   0.4597603919
   6  0.67D-01     9      0.34D-01 :  116.25    937.60
        1  -0.0000145276  -0.0000012820  -0.1236063580
        2  -0.0002241432   0.0001630822   0.3969408067
        3   0.0001795597   0.0000976239   0.3961116604
        4  -0.0000159412  -0.0000098036   0.1235541166
        5  -0.0000479792  -0.0000643322  -0.3964650964
        6   0.0000598295  -0.0000269118  -0.3956381969
   6  0.16D+00    10      0.41D-01 :  128.26   1034.48
        1  -0.0000177421  -0.0000223280  -0.0000889122
        2  -0.0001356402   0.0000857203  -0.4977448621
        3   0.0000706591  -0.0000021473   0.4983204566
        4  -0.0000095592   0.0000199388   0.0000840192
        5  -0.0000909387  -0.0000657927   0.4976087099
        6   0.0000775790   0.0000021018  -0.4984717053
   6  0.41D-01    11      0.55D-01 :  148.39   1196.82
        1   0.0000406956  -0.1243407537  -0.0000642861
        2  -0.3778044439   0.1142495186  -0.0002477015
        3   0.3780516171   0.1143417975  -0.0004683947
        4  -0.0000697561   0.1243008036  -0.0000876860
        5  -0.3781528102  -0.1144267904  -0.0002342856
        6   0.3779266175  -0.1144425627  -0.0000112377
   6  0.47D-01    12      0.68D-01 :  165.42   1334.18
        1   0.0866102591   0.0000217752   0.0000036537
        2   0.4149133057  -0.1793851930   0.0002038773
        3   0.4144621331   0.1791938452   0.0001386460
        4  -0.0868902778   0.0000265805  -0.0000234644
        5  -0.4128079421  -0.1781084796   0.0001531702
        6  -0.4131382213   0.1782274395   0.0000204959
   6  0.55D-01    13      0.76D-01 :  175.51   1415.54
        1  -0.0654679929   0.0000298116   0.0000150121
        2   0.3887447626  -0.2651382611  -0.0000531388
        3   0.3888068798   0.2651803849  -0.0000081004
        4  -0.0653755528   0.0000048090   0.0000295490
        5   0.3908053007   0.2663748681   0.0000040154
        6   0.3906942663  -0.2663030828  -0.0000524846
   6  0.16D-01    14      0.10D+00 :  201.49   1625.12
        1   0.1770485004   0.0000030928  -0.0000050865
        2  -0.1301665644   0.2111899722   0.0000170445
        3  -0.1303260688  -0.2112321057   0.0001204830
        4  -0.1769221105   0.0000113058   0.0000006664
        5   0.1297334079   0.2108257425   0.0000546547
        6   0.1294777818  -0.2107767154   0.0001452801
   6  0.19D-01    15      0.36D+00 :  379.55   3061.29
        1  -0.0410000916  -0.0001356115   0.0000035607
        2   0.2449953569   0.4196011624  -0.0000195984
        3   0.2440462507  -0.4182665085  -0.0000631662
        4  -0.0415861424  -0.0001804260   0.0000015594
        5   0.2465961179  -0.4225960976  -0.0000197912
        6   0.2479152551   0.4243448204   0.0000565915
   6  0.14D-01    16      0.36D+00 :  381.80   3079.41
        1  -0.0529543571  -0.0001522699   0.0000016686
        2   0.2466562131   0.4174608542  -0.0000265007
        3   0.2454812319  -0.4156288460   0.0000246817
        4   0.0524976614   0.0001708796  -0.0000019915
        5  -0.2427849220   0.4108845682  -0.0000379583
        6  -0.2440638310  -0.4128488926   0.0000154560
   6  0.11D-01    17      0.37D+00 :  388.22   3131.17
        1   0.0000924273  -0.0657970930   0.0000096678
        2   0.2495190238   0.3994199619   0.0000140818
        3  -0.2505900129   0.4011906798   0.0000151238
        4  -0.0001217665   0.0656601694   0.0000078106
        5   0.2502243404  -0.4005527479   0.0000202450
