    3  0.10D+01   1
 
      1  -0.0071963220   0.1848114383  -0.0156212600
      2  -0.0071973406   0.1805892140  -0.0126741108
      3  -0.0083122797   0.1256511561  -0.0141438593
 
    3 -0.10D+01   1
 
      1  -0.0071963220   0.1848114383  -0.0156212600
      2  -0.0071973406   0.1805892140  -0.0126741108
      3  -0.0083122797   0.1256511561  -0.0141438593
 
    3  0.10D+01   2
 
      1  -0.1215387100  -0.0290099159   0.1022223406
      2  -0.1215347209   0.0370718018   0.1152235813
      3  -0.1265690427   0.0036595224   0.1087018763
 
    3 -0.10D+01   2
 
      1  -0.1215387100  -0.0290099159   0.1022223406
      2  -0.1215347209   0.0370718018   0.1152235813
      3  -0.1265690427   0.0036595224   0.1087018763
 
    3  0.10D+01   3
 
      1  -0.1083742513  -0.0100622252  -0.1311891607
      2  -0.1083402275  -0.0214428622  -0.1161128233
      3  -0.1142014662  -0.0162898482  -0.1236510724
 
    3 -0.10D+01   3
 
      1  -0.1083742513  -0.0100622252  -0.1311891607
      2  -0.1083402275  -0.0214428622  -0.1161128233
      3  -0.1142014662  -0.0162898482  -0.1236510724
 
    3  0.10D+01   4
 
      1   0.0180639390  -0.2020504969  -0.0249000973
      2   0.0180778779   0.2004634374  -0.0180746075
      3   0.0154360034   0.0048234155  -0.0214937876
 
    3 -0.10D+01   4
 
      1   0.0180639390  -0.2020504969  -0.0249000973
      2   0.0180778779   0.2004634374  -0.0180746075
      3   0.0154360034   0.0048234155  -0.0214937876
 
    3  0.10D+01   5
 
      1  -0.0564331869  -0.0076093561   0.1841403649
      2  -0.0564349901   0.0012491396  -0.1877624447
      3   0.0870847027   0.0124431585  -0.0018085107
 
    3 -0.10D+01   5
 
      1  -0.0564331869  -0.0076093561   0.1841403649
      2  -0.0564349901   0.0012491396  -0.1877624447
      3   0.0870847027   0.0124431585  -0.0018085107
 
    3  0.77D+00   6
 
      1  -0.0007488902   0.0857492639   0.0105154220
      2  -0.0007494687   0.0932716686  -0.0065880865
      3   0.0057945848  -0.2590140332   0.0019613192
 
    3 -0.77D+00   6
 
      1  -0.0007488902   0.0857492639   0.0105154220
      2  -0.0007494687   0.0932716686  -0.0065880865
      3   0.0057945848  -0.2590140332   0.0019613192
 
    3  0.12D+00   7
 
      1   0.1678624432  -0.0000109083  -0.0670517058
      2  -0.1678892796   0.0000065397  -0.0670438820
      3  -0.0000090209  -0.0000025847   0.1340817276
 
    3 -0.12D+00   7
 
      1   0.1678624432  -0.0000109083  -0.0670517058
      2  -0.1678892796   0.0000065397  -0.0670438820
      3  -0.0000090209  -0.0000025847   0.1340817276
 
    3  0.20D-01   8
 
      1  -0.1161293360  -0.0000007058  -0.0969183732
      2   0.1161150307   0.0000009617  -0.0969064007
      3   0.0000139094  -0.0000017018   0.1938571344
 
    3 -0.20D-01   8
 
      1  -0.1161293360  -0.0000007058  -0.0969183732
      2   0.1161150307   0.0000009617  -0.0969064007
      3   0.0000139094  -0.0000017018   0.1938571344
 
    3  0.13D-01   9
 
      1  -0.1076546147  -0.0000002071  -0.0830779242
      2  -0.1076635886   0.0000038945   0.0830871607
      3   0.2152834149  -0.0000458883  -0.0000185299
 
    3 -0.13D-01   9
 
      1  -0.1076546147  -0.0000002071  -0.0830779242
      2  -0.1076635886   0.0000038945   0.0830871607
      3   0.2152834149  -0.0000458883  -0.0000185299
 
