#volume(Bohr^3) ftot(Ha)
0.250000E+03 -7.93119093
0.253769E+03 -7.93191111
0.257575E+03 -7.93235825
0.261420E+03 -7.93261663
0.265302E+03 -7.93265785
0.269223E+03 -7.93253206
0.273182E+03 -7.93219273
