4.80 9.50 -144.10891213
4.80 9.55 -144.10908308
4.80 9.60 -144.10923859
4.80 9.65 -144.10937412
4.80 9.70 -144.10949480
4.80 9.75 -144.10959790
4.80 9.80 -144.10968517
4.80 9.85 -144.10975838
4.80 9.90 -144.10981718
4.80 9.95 -144.10986204
4.80 10.00 -144.10989506

4.85 9.50 -144.11027109
4.85 9.55 -144.11040943
4.85 9.60 -144.11053087
4.85 9.65 -144.11063827
4.85 9.70 -144.11072745
4.85 9.75 -144.11080059
4.85 9.80 -144.11085977
4.85 9.85 -144.11090565
4.85 9.90 -144.11093731
4.85 9.95 -144.11095691
4.85 10.00 -144.11096214

4.90 9.50 -144.11118146
4.90 9.55 -144.11128768
4.90 9.60 -144.11137901
4.90 9.65 -144.11145418
4.90 9.70 -144.11151207
4.90 9.75 -144.11155922
4.90 9.80 -144.11159079
4.90 9.85 -144.11160895
4.90 9.90 -144.11161581
4.90 9.95 -144.11160950
4.90 10.00 -144.11159178

4.95 9.50 -144.11170000
4.95 9.55 -144.11177373
4.95 9.60 -144.11183365
4.95 9.65 -144.11187808
4.95 9.70 -144.11191049
4.95 9.75 -144.11192934
4.95 9.80 -144.11193331
4.95 9.85 -144.11192707
4.95 9.90 -144.11190735
4.95 9.95 -144.11187765
4.95 10.00 -144.11183675

5.00 9.50 -144.11186924
5.00 9.55 -144.11191183
5.00 9.60 -144.11194064
5.00 9.65 -144.11195724
5.00 9.70 -144.11196143
5.00 9.75 -144.11195161
5.00 9.80 -144.11193147
5.00 9.85 -144.11189981
5.00 9.90 -144.11185667
5.00 9.95 -144.11180415
5.00 10.00 -144.11174092

5.05 9.50 -144.11172572
5.05 9.55 -144.11173780
5.05 9.60 -144.11173750
5.05 9.65 -144.11172627
5.05 9.70 -144.11170078
5.05 9.75 -144.11166757
5.05 9.80 -144.11162231
5.05 9.85 -144.11156653
5.05 9.90 -144.11150175
5.05 9.95 -144.11142556
5.05 10.00 -144.11134021

5.10 9.50 -144.11130645
5.10 9.55 -144.11129070
5.10 9.60 -144.11126323
5.10 9.65 -144.11122615
5.10 9.70 -144.11117565
5.10 9.75 -144.11111582
5.10 9.80 -144.11104626
5.10 9.85 -144.11096716
5.10 9.90 -144.11088045
5.10 9.95 -144.11078392
5.10 10.00 -144.11067915
