#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -20.0000000000      0.0000000000      0.0040041254
    -19.9850000000      0.0000000000      0.0047853797
    -19.9700000000      0.0000000000      0.0056886946
    -19.9550000000      0.0000000000      0.0067268123
    -19.9400000000      0.0000000000      0.0079126238
    -19.9250000000      0.0000000000      0.0092589421
    -19.9100000000      0.0000000000      0.0107782466
    -19.8950000000      0.0000000000      0.0124824037
    -19.8800000000      0.0000000000      0.0143823683
    -19.8650000000      0.0000000000      0.0164878743
    -19.8500000000      0.0000000000      0.0188071224
    -19.8350000000      0.0000000000      0.0213464749
    -19.8200000000      0.0000000000      0.0241101666
    -19.8050000000      0.0000000000      0.0271000433
    -19.7900000000      0.0000000000      0.0303153364
    -19.7750000000      0.0000000000      0.0337524830
    -19.7600000000      0.0000000000      0.0374049990
    -19.7450000000      0.0000000000      0.0412634118
    -19.7300000000      0.0000000000      0.0453152560
    -19.7150000000      0.0000000000      0.0495451336
    -19.7000000000      0.0000000000      0.0539348401
    -19.6850000000      0.0000000000      0.0584635515
    -19.6700000000      0.0000000000      0.0631080702
    -19.6550000000      0.0000000000      0.0678431219
    -19.6400000000      0.0000000000      0.0726416976
    -19.6250000000      0.0102151725      0.0774754312
    -19.6100000000      0.0480306235      0.0823150068
    -19.5950000000      0.0858460746      0.0871305851
    -19.5800000000      0.1236615256      0.0918922442
    -19.5650000000      0.1614769767      0.0965704259
    -19.5500000000      0.1992924278      0.1011363843
    -19.5350000000      0.2371078788      0.1055626292
    -19.5200000000      0.1329206847      0.1098233635
    -19.5050000000      0.1363171189      0.1138949072
    -19.4900000000      0.1397135532      0.1177561060
    -19.4750000000      0.1431099874      0.1213887193
    -19.4600000000      0.1465064217      0.1247777796
    -19.4450000000      0.1499028559      0.1279119170
    -19.4300000000      0.1532992902      0.1307836381
    -19.4150000000      0.1566957244      0.1333895473
    -19.4000000000      0.1600921587      0.1357304975
    -19.3850000000      0.1634885929      0.1378116564
    -19.3700000000      0.1668850272      0.1396424726
    -19.3550000000      0.1702814614      0.1412365311
    -19.3400000000      0.1669688917      0.1426112838
    -19.3250000000      0.1622674735      0.1437876522
    -19.3100000000      0.1575660553      0.1447894967
    -19.2950000000      0.1528646371      0.1456429597
    -19.2800000000      0.1481632189      0.1463756918
    -19.2650000000      0.1434618007      0.1470159812
    -19.2500000000      0.1420500227      0.1475918124
    -19.2350000000      0.1433001462      0.1481298859
    -19.2200000000      0.1445502696      0.1486546391
    -19.2050000000      0.1458003931      0.1491873100
    -19.1900000000      0.1470505166      0.1497450880
    -19.1750000000      0.1483006401      0.1503403958
    -19.1600000000      0.1495507635      0.1509803431
    -19.1450000000      0.1508008870      0.1516663876
    -19.1300000000      0.1520510105      0.1523942293
    -19.1150000000      0.1533011340      0.1531539571
    -19.1000000000      0.1545512574      0.1539304516
    -19.0850000000      0.1558013809      0.1547040386
    -19.0700000000      0.1570515044      0.1554513748
    -19.0550000000      0.1583016279      0.1561465329
    -19.0400000000      0.1595517513      0.1567622460
    -19.0250000000      0.1608018748      0.1572712604
    -19.0100000000      0.1620519983      0.1576477379
    -18.9950000000      0.1633021217      0.1578686485
    -18.9800000000      0.1645522452      0.1579150892
    -18.9650000000      0.1524766848      0.1577734700
    -18.9500000000      0.1521624399      0.1574365105
    -18.9350000000      0.1518481949      0.1569039979
    -18.9200000000      0.1515339500      0.1561832700
    -18.9050000000      0.1512197050      0.1552893915
    -18.8900000000      0.1509054601      0.1542450123
    -18.8750000000      0.1505912151      0.1530799016
    -18.8600000000      0.1502769702      0.1518301712
    -18.8450000000      0.1499627252      0.1505372096
    -18.8300000000      0.1496484803      0.1492463633
    -18.8150000000      0.1493342353      0.1480054100
    -18.8000000000      0.1490199904      0.1468628784
    -18.7850000000      0.1495183206      0.1458662767
    -18.7700000000      0.1501325657      0.1450602951
    -18.7550000000      0.1507468108      0.1444850500
    -18.7400000000      0.1513610559      0.1441744406
    -18.7250000000      0.1519753010      0.1441546797
    -18.7100000000      0.1525895461      0.1444430634
    -18.6950000000      0.1532037912      0.1450470286
    -18.6800000000      0.1538180362      0.1459635446
    -18.6650000000      0.1544322813      0.1471788678
    -18.6500000000      0.1550465264      0.1486686799
    -18.6350000000      0.1556607715      0.1503986117
    -18.6200000000      0.1562750166      0.1523251416
    -18.6050000000      0.1568892617      0.1543968435
    -18.5900000000      0.1575035068      0.1565559416
    -18.5750000000      0.1581177519      0.1587401200
    -18.5600000000      0.1587319970      0.1608845211
    -18.5450000000      0.1593462420      0.1629238602
    -18.5300000000      0.1599604871      0.1647945761
    -18.5150000000      0.1600853449      0.1664369390
    -18.5000000000      0.1586636110      0.1677970340
    -18.4850000000      0.1572418770      0.1688285476
    -18.4700000000      0.1558201431      0.1694942916
    -18.4550000000      0.1543984092      0.1697674100
    -18.4400000000      0.1529766753      0.1696322293
    -18.4250000000      0.1516687717      0.1690847284
    -18.4100000000      0.1518560547      0.1681326196
    -18.3950000000      0.1520433376      0.1667950491
    -18.3800000000      0.1522306205      0.1651019426
    -18.3650000000      0.1524179035      0.1630930301
    -18.3500000000      0.1526051864      0.1608166020
    -18.3350000000      0.1527924694      0.1583280502
    -18.3200000000      0.1529797523      0.1556882561
    -18.3050000000      0.1531670352      0.1529618889
    -18.2900000000      0.1533543182      0.1502156739
    -18.2750000000      0.1535416011      0.1475166872
    -18.2600000000      0.1537288841      0.1449307256
    -18.2450000000      0.1539161670      0.1425207928
    -18.2300000000      0.1541034500      0.1403457323
    -18.2150000000      0.1542907329      0.1384590274
    -18.2000000000      0.1544780158      0.1369077820
    -18.1850000000      0.1546652988      0.1357318834
    -18.1700000000      0.1548525817      0.1349633465
    -18.1550000000      0.1550398647      0.1346258299
    -18.1400000000      0.1554058009      0.1347343129
    -18.1250000000      0.1558021788      0.1352949229
    -18.1100000000      0.1561985567      0.1363048999
    -18.0950000000      0.1565949346      0.1377526878
    -18.0800000000      0.1569913125      0.1396181467
    -18.0650000000      0.1573876904      0.1418728786
    -18.0500000000      0.1577840682      0.1444806658
    -18.0350000000      0.1581804461      0.1473980203
    -18.0200000000      0.1585768240      0.1505748459
    -18.0050000000      0.1589732019      0.1539552123
    -17.9900000000      0.1593695798      0.1574782429
    -17.9750000000      0.1597659577      0.1610791108
    -17.9600000000      0.1601623356      0.1646901400
    -17.9450000000      0.1605587135      0.1682420006
    -17.9300000000      0.1609550914      0.1716649833
    -17.9150000000      0.1613514693      0.1748903350
    -17.9000000000      0.1617478472      0.1778516320
    -17.8850000000      0.1621442250      0.1804861618
    -17.8700000000      0.1581625867      0.1827362847
    -17.8550000000      0.1579484599      0.1845507397
    -17.8400000000      0.1577343331      0.1858858619
    -17.8250000000      0.1575202063      0.1867066764
    -17.8100000000      0.1573060796      0.1869878347
    -17.7950000000      0.1570919528      0.1867143655
    -17.7800000000      0.1568778260      0.1858822105
    -17.7650000000      0.1566636992      0.1844985263
    -17.7500000000      0.1564495724      0.1825817357
    -17.7350000000      0.1562354456      0.1801613192
    -17.7200000000      0.1560213188      0.1772773464
    -17.7050000000      0.1558071921      0.1739797533
    -17.6900000000      0.1559112093      0.1703273788
    -17.6750000000      0.1560996962      0.1663867825
