#volume(Bohr^3) ftot(Ha)
0.261420E+03 -7.85675006
0.265302E+03 -7.85731353
0.269223E+03 -7.85769285
0.273182E+03 -7.85784837
0.277179E+03 -7.85785428
0.281216E+03 -7.85766958
0.285292E+03 -7.85729939
